Time frequency,Unit of measure,Stock or flow,Products and final uses,"Products, adjustments and value added",Geopolitical entity (reporting),Time,value,country
Annual,Million euro,Total,Land transport services and transport services via pipelines,Warehousing and support services for transportation,Germany,2020,15905.0,DE
Annual,Million euro,Total,Rubber and plastic products,Chemicals and chemical products,Germany,2020,15904.0,DE
Annual,Million euro,Total,Exports of goods and services to non-EU countries,"Computer programming, consultancy and related services; Information services",Sweden,2022,15902.01,SE
Annual,Million euro,Total,"Computer programming, consultancy and related services; Information services",Compensation of employees,Spain,2020,15895.5,ES
Annual,Million euro,Total,Final consumption expediture,Other personal services,France,2021,15895.45,FR
Annual,Million euro,Total,Buildings and building construction works,Total intermediate consumption /final use,Czechia,2020,15895.37,CZ
Annual,Million euro,Total,Telecommunications services,"Operating surplus and mixed income, gross",France,2022,15888.4,FR
Annual,Million euro,Total,Services auxiliary to financial services and insurance services,Total intermediate consumption /final use,Italy,2020,15887.76,IT
Annual,Million euro,Total,Chemicals and chemical products,"Value added, gross",France,2020,15887.15,FR
Annual,Million euro,Total,"Food, beverages and tobacco products",Imports of goods and services,Poland,2020,15887.04,PL
Annual,Million euro,Total,"Electricity, gas, steam and air conditioning",Consumption of fixed capital,Italy,2021,15885.16,IT
Annual,Million euro,Total,Gross capital formation,Constructions and construction works,Portugal,2020,15878.02,PT
Annual,Million euro,Total,Total final use,Telecommunications services,Spain,2020,15877.9,ES
Annual,Million euro,Total,Total final use,Furniture and other manufactured goods,Ireland,2020,15877.44,IE
Annual,Million euro,Total,Rental and leasing services,Imports of goods and services,Germany,2022,15877.0,DE
Annual,Million euro,Total,"Motor vehicles, trailers and semi-trailers",Output,Belgium,2022,15870.4,BE
Annual,Million euro,Total,Basic pharmaceutical products and pharmaceutical preparations,Output,Spain,2020,15869.8,ES
Annual,Million euro,Total,Final consumption expenditure by households,Food and beverage serving services,Belgium,2022,15866.47,BE
Annual,Million euro,Total,Final consumption expediture,Food and beverage serving services,Belgium,2022,15866.47,BE
Annual,Million euro,Total,Constructions and construction works,Total intermediate consumption /final use,Portugal,2020,15860.93,PT
Annual,Million euro,Total,Real estate services excluding imputed rents,"Operating surplus and mixed income, gross",Austria,2021,15860.82,AT
Annual,Million euro,Total,Machinery and equipment n.e.c.,Imports of goods and services,Belgium,2020,15856.8,BE
Annual,Million euro,Total,Scientific research and development services,"Value added, gross",Spain,2022,15856.2,ES
Annual,Million euro,Total,Legal and accounting services; services of head offices; management consultancy services,"Operating surplus and mixed income, net",Germany,2021,15856.0,DE
Annual,Million euro,Total,Total use,"Security and investigation services; services to buildings and landscape; office administrative, office support and other business support services",Sweden,2021,15855.71,SE
Annual,Million euro,Total,Rubber and plastic products,"Value added, gross",Italy,2022,15844.93,IT
Annual,Million euro,Total,Buildings and building construction works,Constructions and construction works,Belgium,2020,15844.31,BE
Annual,Million euro,Total,Total final use,Other personal services,France,2020,15843.24,FR
Annual,Million euro,Total,Advertising and market research services,Total intermediate consumption /final use,Germany,2021,15837.0,DE
Annual,Million euro,Total,Final consumption expenditure by government,Public administration and defence services; compulsory social security services,Czechia,2020,15835.91,CZ
Annual,Million euro,Total,Printing and recording services,Output,Germany,2021,15835.0,DE
Annual,Million euro,Total,Real estate services excluding imputed rents,Total intermediate consumption /final use,Poland,2020,15833.81,PL
Annual,Million euro,Total,Exports of goods and services to EU countries,Other transport equipment,Germany,2022,15828.0,DE
Annual,Million euro,Total,Machinery and equipment n.e.c.,Imports of goods and services,Austria,2020,15827.6,AT
Annual,Million euro,Total,"Products of agriculture, hunting and related services",Imports of goods and services,France,2022,15827.0,FR
Annual,Million euro,Total,"Retail trade services, except of motor vehicles and motorcycles","Value added, gross",Austria,2021,15825.86,AT
Annual,Million euro,Total,Final consumption expenditure by households,Taxes less subsidies on products,Czechia,2022,15823.05,CZ
Annual,Million euro,Total,"Wholesale trade services, except of motor vehicles and motorcycles",Compensation of employees,Sweden,2021,15820.23,SE
Annual,Million euro,Total,"Security and investigation services; services to buildings and landscape; office administrative, office support and other business support services",Total supply at basic prices,Sweden,2021,15816.29,SE
